Model,MAE,RMSE,R²
Random Forest,5453.250077007132,11402.78147732493,0.9820748131509297
Voting Ensemble,9205.17225660557,16050.307580394054,0.9644852463055998
Extra Trees,8748.446433786707,16442.05636287388,0.9627304324587933
Gradient Boosting,15285.506303716278,25135.896374689502,0.9128974553720052
XGBoost,15549.4736328125,25509.65809257349,0.9102878570556641
LightGBM,15651.014305905637,25853.592517587167,0.9078524299485651
